ID_Cliente,Target_Risco
122889,0
123769,3
109336,0
121717,3
101763,1
107591,2
107323,0
109268,2
104015,2
118016,3
103627,0
104345,2
124111,1
109988,0
106924,0
110554,1
110585,2
111944,3
109466,1
110317,2
121101,2
120524,2
100420,0
113278,2
102504,0
118920,0
114489,3
118026,0
102436,3
118212,0
121472,0
123174,0
107289,0
122217,1
117851,0
104673,0
104406,0
118671,0
104215,1
112190,1
106951,0
110504,3
106091,0
102023,3
115052,0
103192,0
121954,0
112532,2
122812,0
116103,1
103206,0
105902,0
116116,1
117775,0
119547,2
107033,0
111101,0
112795,0
110211,0
118994,2
119856,1
116606,3
111245,0
114659,0
102276,0
102788,0
109121,3
112538,0
100914,0
122159,2
111926,2
107011,3
108729,0
115627,0
117924,2
111631,1
108322,0
108296,1
124300,0
109472,0
109475,0
122250,0
122651,3
124608,1
118808,0
100772,3
115632,2
102601,0
112259,3
114974,1
108562,0
108168,3
122848,0
104767,0
109321,1
118851,1
100047,0
124169,0
120577,3
123260,2
116883,2
100239,2
123997,0
101296,3
105830,0
123106,0
110239,2
122818,0
102722,0
117426,0
122271,0
120407,0
107866,0
107975,3
121505,0
103856,1
104705,2
103087,2
110411,0
103171,0
101853,2
106160,3
112042,0
102954,0
103601,2
113008,0
122315,0
121889,0
119290,0
113448,0
120485,0
105944,3
109614,0
114082,0
117250,0
101585,0
114143,0
115130,2
101917,2
117270,0
100638,0
112723,0
110408,3
112453,2
107230,0
101361,3
116849,0
107720,0
100901,3
111644,3
121695,3
101320,0
122970,1
104994,0
113040,0
106397,0
123747,0
105212,0
121961,0
104320,2
114407,0
116224,1
119521,0
122618,2
119270,2
112255,0
117374,3
104726,2
124107,0
111636,0
123943,0
114434,2
108904,3
104062,3
109083,0
119190,1
107880,3
100209,3
114828,0
111282,0
122885,1
111801,0
109183,2
118770,0
104139,0
121451,0
118457,0
111344,0
106439,0
122168,0
118973,0
113202,0
105713,0
102225,0
121820,3
112083,0
120378,0
105764,0
120556,0
123804,3
114242,0
117650,0
103684,0
118224,2
104121,3
100137,0
109290,0
124936,3
108210,0
114430,2
107619,0
124200,2
104622,0
100723,0
106981,3
100176,0
108121,0
119723,3
121587,1
107031,0
105093,3
104434,0
101106,3
112730,0
112915,0
103439,2
112140,0
112596,2
118787,2
118375,2
116938,3
112786,0
100790,1
103330,0
111138,2
110320,0
102109,3
114425,0
109721,1
124796,0
116313,0
122387,0
