ID_Cliente,Target_Risco
122889,0
123769,0
109336,0
121717,1
101763,1
107591,0
107323,0
109268,0
104015,1
118016,1
103627,0
104345,0
124111,0
109988,1
106924,0
110554,2
110585,0
111944,1
109466,2
110317,0
121101,0
120524,0
100420,0
113278,0
102504,0
118920,0
114489,0
118026,0
102436,3
118212,0
121472,0
123174,0
107289,0
122217,0
117851,2
104673,0
104406,1
118671,0
104215,0
112190,0
106951,1
110504,1
106091,0
102023,3
115052,1
103192,0
121954,0
112532,0
122812,0
116103,0
103206,0
105902,0
116116,0
117775,2
119547,1
107033,0
111101,0
112795,0
110211,0
118994,0
119856,1
116606,1
111245,1
114659,0
102276,0
102788,1
109121,1
112538,0
100914,0
122159,0
111926,0
107011,2
108729,0
115627,0
117924,1
111631,2
108322,0
108296,1
124300,0
109472,0
109475,0
122250,0
122651,1
124608,1
118808,0
100772,1
115632,3
102601,0
112259,1
114974,1
108562,0
108168,1
122848,0
104767,0
109321,0
118851,2
100047,0
124169,0
120577,2
123260,1
116883,1
100239,2
123997,0
101296,1
105830,0
123106,1
110239,0
122818,0
102722,0
117426,0
122271,3
120407,0
107866,0
107975,2
121505,0
103856,1
104705,0
103087,2
110411,0
103171,0
101853,0
106160,0
112042,0
102954,0
103601,0
113008,0
122315,0
121889,0
119290,0
113448,0
120485,0
105944,2
109614,0
114082,0
117250,0
101585,0
114143,0
115130,0
101917,0
117270,0
100638,0
112723,0
110408,0
112453,0
107230,0
101361,1
116849,0
107720,0
100901,3
111644,1
121695,1
101320,0
122970,2
104994,0
113040,1
106397,0
123747,1
105212,0
121961,0
104320,3
114407,0
116224,2
119521,0
122618,0
119270,1
112255,0
117374,3
104726,2
124107,0
111636,0
123943,0
114434,0
108904,0
104062,3
109083,2
119190,1
107880,1
100209,2
114828,0
111282,0
122885,0
111801,0
109183,0
118770,0
104139,0
121451,0
118457,0
111344,0
106439,2
122168,0
118973,2
113202,0
105713,0
102225,0
121820,0
112083,1
120378,0
105764,0
120556,0
123804,3
114242,0
117650,0
103684,0
118224,0
104121,0
100137,0
109290,0
124936,2
108210,0
114430,0
107619,0
124200,3
104622,0
100723,0
106981,1
100176,0
108121,0
119723,3
121587,0
107031,0
105093,2
104434,0
101106,1
112730,0
112915,2
103439,0
112140,1
112596,1
118787,0
118375,1
116938,1
112786,2
100790,0
103330,0
111138,0
110320,1
102109,0
114425,0
109721,1
124796,0
116313,0
122387,0
110917,0
100357,3
103883,1
104782,0
111904,1
100691,0
121577,0
111117,2
115246,0
123271,0
109067,0
108106,1
123115,3
105737,1
105038,0
116943,0
122565,0
111317,0
100993,2
122143,0
115557,2
102081,0
107887,3
100998,0
111805,3
123474,0
108550,0
124441,0
116564,0
120651,1
109360,1
116100,0
105446,1
107612,1
119126,1
111692,0
105401,0
106261,0
109539,0
108029,0
120721,1
121635,2
121350,0
116186,1
124029,0
103798,0
101994,0
113131,0
115441,0
111328,0
111458,0
100190,0
121254,2
119147,1
110797,0
107941,1
111209,0
115091,0
122898,0
109362,0
121469,1
117157,0
114998,0
121265,0
123124,2
106786,3
107994,0
105215,0
108000,0
113924,0
123090,0
113014,2
122209,0
120542,0
114943,0
119662,0
107379,0
109536,1
106794,0
113151,0
118764,0
101040,0
102464,0
111822,1
117785,0
120868,0
108662,2
101957,1
119829,1
121989,3
107833,0
112464,0
118838,0
124068,1
104921,0
107015,0
103650,0
103538,0
119313,0
100766,3
103475,0
105076,0
115309,0
100524,0
116337,1
107560,3
102624,1
113067,0
107624,1
110197,0
119778,0
123542,0
103068,0
118664,1
102998,0
101588,2
103168,0
116762,0
109872,1
103927,0
119532,0
124908,0
119697,0
107908,0
113814,0
111429,0
123499,0
114722,2
109335,0
102303,0
113510,1
120663,0
114225,0
120046,0
102088,0
103513,1
109262,0
123875,0
102826,0
103162,1
102396,1
102001,0
110629,2
122606,0
122846,0
103739,0
120771,0
104729,1
112646,1
117616,0
104531,0
101081,0
112133,2
105386,1
106589,1
107728,0
103318,1
103349,3
118565,0
116457,0
102411,1
116143,0
109200,1
110813,1
102289,2
103980,0
103459,0
110617,0
115322,1
119888,0
107554,0
110827,0
100429,0
104312,1
109675,1
113503,0
122831,0
102708,0
118765,0
112640,2
102551,2
110906,0
116026,0
103860,0
101022,0
101033,0
113909,0
103888,0
117668,0
101612,0
106426,3
116965,0
110545,1
109135,0
116388,0
112820,1
112644,0
111984,0
103960,0
122578,0
101638,1
116825,0
103803,0
107848,0
113698,0
106553,1
119763,0
107422,0
114043,1
120662,2
122542,2
106588,3
103943,2
110587,1
113562,0
110280,0
116067,1
115295,0
107001,2
122320,1
105561,0
115333,0
115175,0
122129,0
111397,0
